"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000005073.6",71.148518187143,4.13180643873961,1.14871265666264,3.59690164008793,0.000322030184828298,0.0299761907081498
"ENSG00000006555.11",1394.65157225743,1.37149052103434,0.366131076991441,3.74590032701978,0.000179747953721803,0.0214810578580987
"ENSG00000006611.17",4384.16989685181,1.93602347648159,0.554714103649301,3.49012845309874,0.000482788427333119,0.0363979914347809
"ENSG00000011426.11",1318.21149517823,2.13529173653904,0.590474071937703,3.61623285088854,0.000298921508186163,0.0286460203717653
"ENSG00000016490.16",288.233668318235,6.75083497013075,1.83112863283952,3.68670712098597,0.000227174555045584,0.0246709763806845
"ENSG00000019102.12",4395.370165196,2.81094172320221,0.768527211052203,3.65756954702191,0.000254618184981804,0.0260005069716307
"ENSG00000019186.10",171.157832555501,3.98084081406844,1.19598539101085,3.32850287636358,0.000873141033755232,0.0488655432940275
"ENSG00000043355.12",75.1033824148659,8.04098353220483,1.48290696450413,5.42244640067062,5.87888453302136e-08,0.000134072860845996
"ENSG00000053747.17",12974.3769113397,2.38133938192549,0.626205455370619,3.8028084257364,0.000143064986531894,0.0192869925439327
"ENSG00000060140.9",577.59397932326,2.73985411833868,0.589642974491706,4.64663234680366,3.37397702510613e-06,0.00236758023707896
"ENSG00000064270.13",882.619936129208,2.22740224280871,0.601609877794886,3.70240304393427,0.000213566986657862,0.0236627033354887
"ENSG00000069764.10",266.421750260774,3.03170337842148,0.800831737454727,3.7856933443436,0.000153280602864528,0.0196344179961166
"ENSG00000074211.14",765.390228829196,3.89960220656824,0.864874343087985,4.5088656378046,6.51751671181801e-06,0.00339357352609212
"ENSG00000076356.7",4097.65708177064,1.56562004816957,0.356302908225583,4.39407035987016,1.11247783535738e-05,0.00461290620003415
"ENSG00000079385.23",3471.17532352485,1.89632889680625,0.548293622504231,3.45860104690825,0.000542988549399482,0.0384973254699886
"ENSG00000086159.13",73.8087578987004,3.40283705890539,0.919773298009219,3.69964758301918,0.000215899061794319,0.0237289543137555
"ENSG00000088836.14",995.377192029728,2.64424185601113,0.636993066058081,4.1511313025345,3.30835888355769e-05,0.00887306387478001
"ENSG00000089356.18",205.439380307599,3.64100046281153,0.686655875646929,5.30251118783653,1.14220464201942e-07,0.000240451649524196
"ENSG00000090402.8",133.068440479922,23.2374410175026,2.11245857186648,11.0001878034328,3.81336893321519e-28,1.043604675953e-23
"ENSG00000092607.15",264.738167200552,2.86229986539528,0.802131222971091,3.56836859534446,0.000359210930710723,0.0310111215796856
"ENSG00000094804.12",535.067093957799,1.6515324752458,0.481153342251827,3.4324451899607,0.000598164774538808,0.0400243896938962
"ENSG00000095539.15",1469.19086604585,1.82163443474585,0.520018008836564,3.50302182576598,0.00046001176880478,0.0355686663832264
"ENSG00000099812.9",7360.0531949384,2.3206093460891,0.591265745708962,3.92481614727495,8.67960019955016e-05,0.0145726759914779
"ENSG00000099834.19",2314.61659471419,2.83151347171283,0.844355759683172,3.35346024379025,0.000798078780293968,0.0462751333398708
"ENSG00000100994.12",15702.9647049526,1.59788687753288,0.437260417623938,3.65431402690361,0.000257870497429684,0.0261375626042895
